user_id,products,reviews
6366584,1597,129
11140739,286,79
11402551,444,137
14189607,266,71
50405,502,97
364560,175,52
5047735,1941,152
5682311,504,55
5948592,595,15
5955410,4416,26
7350602,350,23
8362755,367,42
8670654,144,35
9082536,750,612
9484944,124,35
9587207,193,13
10181930,866,78
10462910,453,61
10887265,885,97
11117905,636,27
11180141,1011,38
11191389,100,12
11252439,344,174
11288504,380,19
11342712,1231,52
11373088,3338,65
11409949,82,12
11422252,700,118
11489232,379,115
11536388,381,24
11551077,451,18
11564999,350,38
11586506,3275,82
11622526,386,16
11632810,1529,43
11656042,2745,137
11670491,244,28
11735529,1267,51
11790645,1596,152
11899656,1852,160
11923957,1611,21
11940082,349,83
11971732,62,39
12033370,280,25
12034060,1693,86
12142129,4121,345
12180531,1078,21
12386405,597,64
12393435,457,14
12718357,152,17
12863489,55,22
12917616,526,84
12992358,288,43
13246419,407,48
13382289,488,36
13385091,223,76
13398044,1602,41
13463708,122,10
13718185,57,22
13914743,151,42
13954432,319,32
14108030,323,77
14209637,300,60
14266135,1788,65
271314,528,31
289353,536,20
292108,139,30
728509,314,37
926650,454,75
1054344,2263,467
1493864,930,72
1686478,130,23
1696115,914,47
1732275,616,29
1741556,284,129
1966456,700,42
1992065,1477,112
2217359,128,17
2427979,934,48
2489387,321,12
2548970,461,28
2630226,99,32
2639416,220,115
2801456,1069,160
2867240,1555,136
3198551,165,46
3465677,257,24
3582616,128,16
3745248,495,37
3762779,514,66
3783752,793,100
3836424,298,59
3986330,667,98
4039660,191,40
4154892,898,46
4163355,170,38
4219321,255,22
4303022,170,26
4438219,392,61
4564182,96,31
4588515,852,287
4756727,118,30
4913401,317,62
5004930,314,75
5076948,1597,42
5078782,331,32
5089301,128,15
5101776,540,63
5105645,137,23
5111845,739,127
5155423,162,32
5209838,40,32
5254295,489,19
5285843,315,29
5286906,42,26
5342174,329,53
5344182,198,52
5500399,396,80
5549119,84,16
5551447,1037,91
5560909,85,24
5564266,166,28
5651617,67,16
5708446,294,94
5788435,81,20
5838914,64,14
5930394,369,15
5944784,156,53
5995831,284,28
6021369,83,16
6042984,407,35
6130851,209,23
6136577,214,26
6350264,210,35
6376803,91,22
6415638,319,16
6429899,552,81
6467163,896,21
6526493,392,11
6563986,240,54
6622140,230,48
6679109,117,21
6704616,555,55
6705521,505,28
6767761,1863,49
6769237,283,126
6787545,337,54
6807327,516,57
6868378,198,19
7036514,287,22
7055881,174,30
7057989,91,12
7076584,918,36
7117937,215,46
7230373,54,14
7259792,177,85
7463398,474,26
7537130,178,39
7715845,168,66
7792998,202,44
7805205,25,15
7833560,240,13
7856454,301,56
7891761,239,21
7958771,168,106
7974389,188,51
8078569,79,19
8116102,231,37
8290370,124,19
8306805,609,35
8311178,201,31
8349222,194,16
8380906,109,37
8443614,3663,161
8513978,92,25
8660497,261,11
8666054,170,27
8686623,61,26
8741644,106,16
8748921,31,15
8768021,390,67
8815275,106,49
8934889,287,82
8976535,69,14
9045643,263,89
9137440,131,32
9224061,297,57
9256067,168,46
9282059,155,12
9288151,291,80
9291415,91,15
9297620,81,12
9335128,407,12
9411477,116,15
9427247,37,10
9456837,341,45
9477953,244,43
9627035,66,20
9660065,117,12
9691795,54,21
9696663,4004,99
9720510,69,27
9738226,69,46
9747020,189,10
9802447,290,47
9943310,135,25
10029958,140,20
10086720,214,45
10210236,93,30
10243247,2765,266
10244496,343,62
10291328,113,17
10300652,131,36
10386977,121,18
10391206,34,12
10511086,48,34
10653640,46,25
10841868,571,23
10843832,129,34
10918702,209,59
10966868,83,25
10976630,100,22
10979182,166,24
10997302,185,44
11012272,269,18
12289752,56,19
12323962,112,78
12444937,106,38
12557455,65,14
12752788,208,47
12769356,50,27
12797293,81,23
12809813,234,39
12847005,87,19
12903928,309,26
13027608,54,18
13122018,89,34
13152422,110,19
13265571,157,24
13325716,241,36
13350343,72,22
13517861,151,13
13524732,700,83
13595918,302,22
13641907,449,21
13648650,51,13
13658230,34,12
13730582,117,11
13984412,120,27
14000194,39,24
14001213,69,16
14074869,135,20
14111850,98,14
14123261,337,19
14199126,123,37
14232514,45,17
14286196,154,14
98598,68,22
162006,277,22
193018,357,13
225112,127,13
281234,328,14
297966,146,44
320914,65,12
340624,131,25
412104,85,11
441926,91,25
539224,521,24
554546,117,30
575941,98,26
611927,351,62
650934,94,30
669017,165,32
702468,146,20
712552,176,26
715494,674,81
719359,31,14
780043,72,13
780132,76,20
810218,59,68
821550,81,22
856269,92,12
865672,153,19
1037672,115,14
1073507,133,11
1114607,221,18
1155175,67,15
1184454,326,59
1206586,360,19
1278294,108,24
1323942,164,16
1393586,1635,186
1480983,1213,10
1483589,164,16
1514424,319,46
1535396,110,19
1536707,931,15
1642556,203,13
1663430,262,15
1692592,54,15
1696409,85,58
1702245,65,35
1707110,42,12
1707745,337,18
1725661,107,11
1762667,94,43
1814649,46,13
1829072,106,16
1879223,358,51
2126936,45,20
2137592,51,12
2250284,590,15
2310806,125,15
2332790,206,22
2375226,25,26
2382428,45,16
2392008,182,31
2410226,18,17
2550859,80,12
2559772,170,23
2644064,163,48
2688236,74,15
2711341,32,12
2751581,48,18
2767283,68,17
2847523,36,14
2916477,50,21
2917644,94,17
3011339,164,21
3131442,120,26
3235784,74,15
3351988,140,24
3365204,41,13
3381367,22,10
3405120,79,22
3425873,24,10
3430693,142,19
3446468,178,13
3463140,156,47
3565289,41,10
3890997,55,12
3907288,43,10
3947298,80,10
3959427,95,12
3997660,57,15
4041978,37,10
4112208,149,12
4167666,297,12
4220052,68,10
4248763,131,18
4296215,24,11
4478622,108,15
4492466,257,12
6901246,272,23
9276664,1482,36
11455437,203,32
12051069,276,50
422194,811,40
477071,332,30
1164499,156,33
2489760,198,17
2658133,443,34
3272444,1592,65
7144220,1519,50
7167593,258,55
7372560,3131,794
7430224,1335,88
7488382,288,29
7921271,1666,46
7959383,582,76
8575513,370,35
8784163,8197,108
8975587,659,120
9000014,630,31
9240540,1751,55
9533810,448,57
9565191,799,53
9589246,235,17
9643716,660,539
9667677,804,92
9823250,430,36
9902563,1741,62
10103939,1009,96
10291468,165,12
10292985,523,69
10339222,436,28
10624589,1246,47
10769556,487,34
10876942,73,32
11221153,899,34
11236286,493,24
11312533,364,25
11481069,209,52
11682528,101,22
11690056,310,22
11723119,193,31
11784826,511,42
11992436,499,76
12143177,902,106
12527159,671,57
12932560,128,18
13094521,3386,31
13282569,885,170
13331348,418,105
13559612,769,104
13595964,199,31
13770369,649,36
13895892,879,27
13933083,361,84
13996615,237,40
737481,1320,63
757303,333,24
787814,944,48
1022250,509,24
1264923,261,39
1270024,242,27
1355290,151,44
1567512,530,26
1578356,31,15
2029109,718,18
2672645,94,12
2843434,158,28
2936524,397,32
2977294,372,38
2992188,363,21
3247206,884,63
3320134,134,19
3425363,843,26
3780962,1283,11
3781041,311,11
3799895,528,16
3898384,190,48
3925150,2780,130
3926615,378,20
4073457,77,11
4150489,346,43
4227513,547,162
4231198,270,62
4257559,451,70
4324617,644,101
4384939,367,90
4452307,671,153
4490053,379,12
4548696,210,34
4551181,198,49
4614687,242,19
4680743,906,26
4824813,194,13
4917575,99,19
4935541,756,72
5021229,200,137
5047129,1285,310
5065788,236,23
5153336,400,202
5323879,157,19
5338436,124,44
5417391,751,27
5417462,86,17
5551010,26,12
5560265,254,21
5702233,6450,168
5837920,118,45
5891472,558,31
5969584,353,60
5978312,135,29
5980019,348,30
5989594,169,23
6015947,396,30
6028021,102,12
6033909,1469,36
6042754,264,32
6049254,639,43
6054969,210,56
6055390,67,100
6073630,894,44
6146790,43,13
6180373,879,518
6321531,128,17
6343853,759,106
6358686,133,31
6412859,138,24
6470805,280,48
6487222,234,38
6492663,120,13
6512186,179,58
6515357,239,11
6644545,364,74
6670845,162,27
6682751,721,140
6684836,406,47
6690722,1133,21
6691889,205,23
6715011,183,89
6723158,347,89
6732547,9321,305
6762119,2497,49
6876849,56,32
6876978,124,78
6890907,241,45
7021386,134,24
7040590,303,15
7051618,333,33
7072377,60,20
7182007,280,62
7248654,48,16
7251650,126,16
7252901,142,25
7266309,257,18
7267635,516,136
7267904,192,23
7295922,379,78
7353383,421,23
7359223,186,24
7436826,470,223
7445048,213,31
7453071,293,105
7521086,207,24
7524391,127,16
7554855,929,90
7617831,207,67
7676232,650,56
7750277,137,23
7791149,632,85
7802561,358,138
7818377,169,30
7887779,171,28
7900883,30,12
7978519,280,44
7992276,294,38
8026564,239,35
8037746,74,29
8119063,261,31
8127945,469,59
8159775,260,26
8274810,99,19
8278317,283,46
8293198,1048,41
8367494,607,30
8380327,287,112
